[(57, 52), (52, 46), (46, 45), (45, 44), (44, 213), (213, 9), (9, 1), (1, 2), (2, 108), (108, 23)]
[(149, 25), (25, 22), (22, 26), (26, 2), (2, 73), (73, 72), (72, 47), (47, 44), (44, 236), (236, 57)]
[(59, 52), (52, 46), (46, 236), (236, 72), (72, 7), (7, 4), (4, 32), (32, 90), (90, 126), (126, 116)]
[(209, 25), (25, 23), (23, 2), (2, 1), (1, 7), (7, 72), (72, 47), (47, 44), (44, 53), (53, 51)]
[(171, 90), (90, 30), (30, 4), (4, 1), (1, 7), (7, 72), (72, 47), (47, 44), (44, 45), (45, 48)]
[(123, 120), (120, 116), (116, 115), (115, 117), (117, 31), (31, 4), (4, 1), (1, 2), (2, 23), (23, 193)]
[(55, 51), (51, 47), (47, 74), (74, 9), (9, 2), (2, 108), (108, 23), (23, 22), (22, 25), (25, 34)]
[(116, 115), (115, 117), (117, 31), (31, 4), (4, 1), (1, 2), (2, 108), (108, 25), (25, 177), (177, 151)]
[(41, 36), (36, 34), (34, 25), (25, 22), (22, 26), (26, 2), (2, 1), (1, 7), (7, 72), (72, 233)]
[(36, 34), (34, 25), (25, 22), (22, 26), (26, 2), (2, 1), (1, 9), (9, 213), (213, 44), (44, 50)]
[(62, 52), (52, 46), (46, 45), (45, 44), (44, 213), (213, 9), (9, 4), (4, 30), (30, 66), (66, 64)]
[(154, 46), (46, 45), (45, 44), (44, 213), (213, 9), (9, 7), (7, 5), (5, 187), (187, 96), (96, 94)]
[(127, 116), (116, 115), (115, 117), (117, 31), (31, 4), (4, 1), (1, 5), (5, 187), (187, 96), (96, 208)]
[(113, 100), (100, 98), (98, 4), (4, 1), (1, 2), (2, 108), (108, 25), (25, 177), (177, 151), (151, 230)]
[(234, 233), (233, 72), (72, 7), (7, 4), (4, 32), (32, 122), (122, 118), (118, 117), (117, 120), (120, 123)]
